item,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,continuation_type
9,-wh_no_gap,I know,that,the secretary said,the journalist remarked,the workers said,their representatives think,,promised,a raise,to the factory workers,PP
9,+wh_gap,I know,who,the secretary said,the journalist remarked,the workers said,their representatives think,the business man,promised,a raise,to the factory workers,PP
9,+wh_no_gap,I know,who,the secretary said,the journalist remarked,the workers said,their representatives think,,promised,a raise,to the factory workers,PP
10,-wh_gap,The newspaper reported,that,the investigator thought,the businessman believed,the banker said,his friend believes,the boss,sold,a car,to his friend,PP
10,-wh_no_gap,The newspaper reported,that,the investigator thought,the businessman believed,the banker said,his friend believes,,sold,a car,to his friend,PP
10,+wh_gap,The newspaper reported,who,the investigator thought,the businessman believed,the banker said,his friend believes,the boss,sold,a car,to his friend,PP
10,+wh_no_gap,The newspaper reported,who,the investigator thought,the businessman believed,the banker said,his friend believes,,sold,a car,to his friend,PP
11,-wh_gap,Her friend found out,that,my friend believed,the professor said,his colleague noticed,their students recalled,the visitor,told,a story,to the guests,PP
11,-wh_no_gap,Her friend found out,that,my friend believed,the professor said,his colleague noticed,their students recalled,,told,a story,to the guests,PP
11,+wh_gap,Her friend found out,who,my friend believed,the professor said,his colleague noticed,their students recalled,the visitor,told,a story,to the guests,PP
11,+wh_no_gap,Her friend found out,who,my friend believed,the professor said,his colleague noticed,their students recalled,,told,a story,to the guests,PP
12,-wh_gap,I realized,that,the painter believed,his rival suspected,the man said,his friend recalls,the suffering artist,saw,a painting,at the museum,PP
12,-wh_no_gap,I realized,that,the painter believed,his rival suspected,the man said,his friend recalls,,saw,a painting,at the museum,PP
12,+wh_gap,I realized,who,the painter believed,his rival suspected,the man said,his friend recalls,the suffering artist,saw,a painting,at the museum,PP
12,+wh_no_gap,I realized,who,the painter believed,his rival suspected,the man said,his friend recalls,,saw,a painting,at the museum,PP
13,-wh_gap,The novel revealed,that,our friend thought,the reporter knows,her contact said,his friend saw,the young politician,said,something,to his donors,PP
13,-wh_no_gap,The novel revealed,that,our friend thought,the reporter knows,her contact said,his friend saw,,said,something,to his donors,PP
13,+wh_gap,The novel revealed,who,our friend thought,the reporter knows,her contact said,his friend saw,the young politician,said,something,to his donors,PP
13,+wh_no_gap,The novel revealed,who,our friend thought,the reporter knows,her contact said,his friend saw,,said,something,to his donors,PP
14,-wh_gap,We all know,that,my neighbor said,her associate knew,a friend thinks,her sister believes,the young professional,assembled,the bed,for his parents,PP
14,-wh_no_gap,We all know,that,my neighbor said,her associate knew,a friend thinks,her sister believes,,assembled,the bed,for his parents,PP
14,+wh_gap,We all know,who,my neighbor said,her associate knew,a friend thinks,her sister believes,the young professional,assembled,the bed,for his parents,PP
14,+wh_no_gap,We all know,who,my neighbor said,her associate knew,a friend thinks,her sister believes,,assembled,the bed,for his parents,PP
15,-wh_gap,I know,that,their friend said,the secretary believed,the worker thinks,his boss reported,the elderly lady,found,a quarter,on the bus,PP
15,-wh_no_gap,I know,that,their friend said,the secretary believed,the worker thinks,his boss reported,,found,a quarter,on the bus,PP
15,+wh_gap,I know,who,their friend said,the secretary believed,the worker thinks,his boss reported,the elderly lady,found,a quarter,on the bus,PP
15,+wh_no_gap,I know,who,their friend said,the secretary believed,the worker thinks,his boss reported,,found,a quarter,on the bus,PP
16,-wh_gap,My friends all know,that,her friend knew,the delivery man believed,the cop said,his partner recalled,the single mother,described,her woes,to her friends,PP
16,-wh_no_gap,My friends all know,that,her friend knew,the delivery man believed,the cop said,his partner recalled,,described,her woes,to her friends,PP
16,+wh_gap,My friends all know,who,her friend knew,the delivery man believed,the cop said,his partner recalled,the single mother,described,her woes,to her friends,PP
16,+wh_no_gap,My friends all know,who,her friend knew,the delivery man believed,the cop said,his partner recalled,,described,her woes,to her friends,PP
17,-wh_gap,The visitor said,that,my friend said,her mother knew,the clerk stated,his friend saw,the human resources officer,talked with,the new manager,in her office,PP
17,-wh_no_gap,The visitor said,that,my friend said,her mother knew,the clerk stated,his friend saw,,talked with,the new manager,in her office,PP
17,+wh_gap,The visitor said,who,my friend said,her mother knew,the clerk stated,his friend saw,the human resources officer,talked with,the new manager,in her office,PP
17,+wh_no_gap,The visitor said,who,my friend said,her mother knew,the clerk stated,his friend saw,,talked with,the new manager,in her office,PP
18,-wh_gap,I know,that,the woman believed,the secretary said,her friend recalled,a colleague thinks,the five star general,found,a gun,in the office,PP
18,-wh_no_gap,I know,that,the woman believed,the secretary said,her friend recalled,a colleague thinks,,found,a gun,in the office,PP
18,+wh_gap,I know,who,the woman believed,the secretary said,her friend recalled,a colleague thinks,the five star general,found,a gun,in the office,PP
18,+wh_no_gap,I know,who,the woman believed,the secretary said,her friend recalled,a colleague thinks,,found,a gun,in the office,PP
19,-wh_gap,The colleagues realized,that,her mother stated,a friend said,her husband knew,his brother said,the journalist,discovered,the bribery,two weeks ago,ADV
19,-wh_no_gap,The colleagues realized,that,her mother stated,a friend said,her husband knew,his brother said,,discovered,the bribery,two weeks ago,ADV
19,+wh_gap,The colleagues realized,who,her mother stated,a friend said,her husband knew,his brother said,the journalist,discovered,the bribery,two weeks ago,ADV
19,+wh_no_gap,The colleagues realized,who,her mother stated,a friend said,her husband knew,his brother said,,discovered,the bribery,two weeks ago,ADV
20,-wh_gap,She said,that,the politician stated,his press secretary said,the chief of staff thought,his assistant suspects,the reporter,put,the microphone,on the table,PP
20,-wh_no_gap,She said,that,the politician stated,his press secretary said,the chief of staff thought,his assistant suspects,,put,the microphone,on the table,PP
20,+wh_gap,She said,who,the politician stated,his press secretary said,the chief of staff thought,his assistant suspects,the reporter,put,the microphone,on the table,PP
20,+wh_no_gap,She said,who,the politician stated,his press secretary said,the chief of staff thought,his assistant suspects,,put,the microphone,on the table,PP
21,-wh_gap,We all know,that,the old man thinks,the woman knows,the young boy said,his friend saw,the teacher,gave,a test,to her students,PP
21,-wh_no_gap,We all know,that,the old man thinks,the woman knows,the young boy said,his friend saw,,gave,a test,to her students,PP
21,+wh_gap,We all know,who,the old man thinks,the woman knows,the young boy said,his friend saw,the teacher,gave,a test,to her students,PP
21,+wh_no_gap,We all know,who,the old man thinks,the woman knows,the young boy said,his friend saw,,gave,a test,to her students,PP
22,-wh_gap,I know,that,the man thinks,the woman said,she believed,she noticed,the priest,congratulated,the couple,after the service,PP
22,-wh_no_gap,I know,that,the man thinks,the woman said,she believed,she noticed,,congratulated,the couple,after the service,PP
22,+wh_gap,I know,who,the man thinks,the woman said,she believed,she noticed,the priest,congratulated,the couple,after the service,PP
22,+wh_no_gap,I know,who,the man thinks,the woman said,she believed,she noticed,,congratulated,the couple,after the service,PP
23,-wh_gap,You know,that,we all believe,she thought,he said,he noticed,the young woman,introduced,her friend,to her mother,PP
23,-wh_no_gap,You know,that,we all believe,she thought,he said,he noticed,,introduced,her friend,to her mother,PP
23,+wh_gap,You know,who,we all believe,she thought,he said,he noticed,the young woman,introduced,her friend,to her mother,PP
23,+wh_no_gap,You know,who,we all believe,she thought,he said,he noticed,,introduced,her friend,to her mother,PP
24,-wh_gap,He knows,that,the inspector said,the man reported,he thought,he noticed,the police,interrogated,the spy,in the prison,PP
24,-wh_no_gap,He knows,that,the inspector said,the man reported,he thought,he noticed,,interrogated,the spy,in the prison,PP
24,+wh_gap,He knows,who,the inspector said,the man reported,he thought,he noticed,the police,interrogated,the spy,in the prison,PP
24,+wh_no_gap,He knows,who,the inspector said,the man reported,he thought,he noticed,,interrogated,the spy,in the prison,PP
25,-wh_gap,She knows,that,the waiter said,the woman believed,she remembered,she knew,the woman,thanked,the waitress,after the meal,PP
25,-wh_no_gap,She knows,that,the waiter said,the woman believed,she remembered,she knew,,thanked,the waitress,after the meal,PP
25,+wh_gap,She knows,who,the waiter said,the woman believed,she remembered,she knew,the woman,thanked,the waitress,after the meal,PP
25,+wh_no_gap,She knows,who,the waiter said,the woman believed,she remembered,she knew,,thanked,the waitress,after the meal,PP
26,-wh_gap,They know,that,the doctor believed,the man said,he thought,he noticed,the nurse,reassured,the old woman,at the hospital,PP
26,-wh_no_gap,They know,that,the doctor believed,the man said,he thought,he noticed,,reassured,the old woman,at the hospital,PP
26,+wh_gap,They know,who,the doctor believed,the man said,he thought,he noticed,the nurse,reassured,the old woman,at the hospital,PP
26,+wh_no_gap,They know,who,the doctor believed,the man said,he thought,he noticed,,reassured,the old woman,at the hospital,PP
27,-wh_gap,He reported,that,the farmer said,his friend reported,he believed,he noticed,the cowboy,abandoned,his partner,in the desert,PP
27,-wh_no_gap,He reported,that,the farmer said,his friend reported,he believed,he noticed,,abandoned,his partner,in the desert,PP
27,+wh_gap,He reported,who,the farmer said,his friend reported,he believed,he noticed,the cowboy,abandoned,his partner,in the desert,PP
27,+wh_no_gap,He reported,who,the farmer said,his friend reported,he believed,he noticed,,abandoned,his partner,in the desert,PP
28,-wh_gap,They reported,that,the executive said,a reporter believed,the client said,he saw,the manager,promoted,the accountant,yesterday,ADV
28,-wh_no_gap,They reported,that,the executive said,a reporter believed,the client said,he saw,,promoted,the accountant,yesterday,ADV
28,+wh_gap,They reported,who,the executive said,a reporter believed,the client said,he saw,the manager,promoted,the accountant,yesterday,ADV
28,+wh_no_gap,They reported,who,the executive said,a reporter believed,the client said,he saw,,promoted,the accountant,yesterday,ADV
29,-wh_gap,They recalled,that,the writer thought,the man said,his brother believed,he saw,the heiress,divorced,the count,last year,ADV
29,-wh_no_gap,They recalled,that,the writer thought,the man said,his brother believed,he saw,,divorced,the count,last year,ADV
29,+wh_gap,They recalled,who,the writer thought,the man said,his brother believed,he saw,the heiress,divorced,the count,last year,ADV
29,+wh_no_gap,They recalled,who,the writer thought,the man said,his brother believed,he saw,,divorced,the count,last year,ADV
30,-wh_gap,We recalled,that,the actor said,the people knew,he thought,he noticed,the clown,frightened,the children,at the party,PP
30,-wh_no_gap,We recalled,that,the actor said,the people knew,he thought,he noticed,,frightened,the children,at the party,PP
30,+wh_gap,We recalled,who,the actor said,the people knew,he thought,he noticed,the clown,frightened,the children,at the party,PP
30,+wh_no_gap,We recalled,who,the actor said,the people knew,he thought,he noticed,,frightened,the children,at the party,PP
31,-wh_gap,He recalled,that,the president said,the report confirmed,he believed,he remembered,the terrorist,assassinated,the politician,last night,ADV
31,-wh_no_gap,He recalled,that,the president said,the report confirmed,he believed,he remembered,,assassinated,the politician,last night,ADV
31,+wh_gap,He recalled,who,the president said,the report confirmed,he believed,he remembered,the terrorist,assassinated,the politician,last night,ADV
31,+wh_no_gap,He recalled,who,the president said,the report confirmed,he believed,he remembered,,assassinated,the politician,last night,ADV
32,-wh_gap,I know,that,the mayor said,the clerk believed,he witnessed,he noticed,the librarian,greeted,the man,early in the morning,ADV
32,-wh_no_gap,I know,that,the mayor said,the clerk believed,he witnessed,he noticed,,greeted,the man,early in the morning,ADV
32,+wh_gap,I know,who,the mayor said,the clerk believed,he witnessed,he noticed,the librarian,greeted,the man,early in the morning,ADV
32,+wh_no_gap,I know,who,the mayor said,the clerk believed,he witnessed,he noticed,,greeted,the man,early in the morning,ADV
33,-wh_gap,You know,that,the lobbyist believed,the secretary said,she saw,he noticed,the millionaire,supported,the candidate,last year,ADV
33,-wh_no_gap,You know,that,the lobbyist believed,the secretary said,she saw,he noticed,,supported,the candidate,last year,ADV
33,+wh_gap,You know,who,the lobbyist believed,the secretary said,she saw,he noticed,the millionaire,supported,the candidate,last year,ADV
33,+wh_no_gap,You know,who,the lobbyist believed,the secretary said,she saw,he noticed,,supported,the candidate,last year,ADV
34,-wh_gap,I know,that,the coach said,the assistant believed,he remembered,he noticed,the president,congratulated,the athletes,over lunch,PP
34,-wh_no_gap,I know,that,the coach said,the assistant believed,he remembered,he noticed,,congratulated,the athletes,over lunch,PP
34,+wh_gap,I know,who,the coach said,the assistant believed,he remembered,he noticed,the president,congratulated,the athletes,over lunch,PP
34,+wh_no_gap,I know,who,the coach said,the assistant believed,he remembered,he noticed,,congratulated,the athletes,over lunch,PP
35,-wh_gap,You know,that,the woman said,the neighbor thought,he recalled,he knew,the man,introduced,his friends,to his family,PP
35,-wh_no_gap,You know,that,the woman said,the neighbor thought,he recalled,he knew,,introduced,his friends,to his family,PP
35,+wh_gap,You know,who,the woman said,the neighbor thought,he recalled,he knew,the man,introduced,his friends,to his family,PP
35,+wh_no_gap,You know,who,the woman said,the neighbor thought,he recalled,he knew,,introduced,his friends,to his family,PP
36,-wh_gap,He knows,that,the man believed,the he concluded,his neighbors had said,they saw,the woman,waited for,her friend,at the bus stop,PP
36,-wh_no_gap,He knows,that,the man believed,the he concluded,his neighbors had said,they saw,,waited for,her friend,at the bus stop,PP
36,+wh_gap,He knows,who,the man believed,the he concluded,his neighbors had said,they saw,the woman,waited for,her friend,at the bus stop,PP
36,+wh_no_gap,He knows,who,the man believed,the he concluded,his neighbors had said,they saw,,waited for,her friend,at the bus stop,PP
37,-wh_gap,She knows,that,the police said,the detective believed,he thought,he saw,the inspectors,interrogated,the criminal,last night,ADV
37,-wh_no_gap,She knows,that,the police said,the detective believed,he thought,he saw,,interrogated,the criminal,last night,ADV
37,+wh_gap,She knows,who,the police said,the detective believed,he thought,he saw,the inspectors,interrogated,the criminal,last night,ADV
37,+wh_no_gap,She knows,who,the police said,the detective believed,he thought,he saw,,interrogated,the criminal,last night,ADV
38,-wh_gap,They know,that,the nurse said,the assistant knew,she saw,he noticed,the old man,thanked,the tailor,on the street,PP
38,-wh_no_gap,They know,that,the nurse said,the assistant knew,she saw,he noticed,,thanked,the tailor,on the street,PP
38,+wh_gap,They know,who,the nurse said,the assistant knew,she saw,he noticed,the old man,thanked,the tailor,on the street,PP
38,+wh_no_gap,They know,who,the nurse said,the assistant knew,she saw,he noticed,,thanked,the tailor,on the street,PP
39,-wh_gap,He reported,that,the nurse believed,the woman thought,she recalled,she noticed,the doctor,reassured,the patient,before surgery,PP
39,-wh_no_gap,He reported,that,the nurse believed,the woman thought,she recalled,she noticed,,reassured,the patient,before surgery,PP
39,+wh_gap,He reported,who,the nurse believed,the woman thought,she recalled,she noticed,the doctor,reassured,the patient,before surgery,PP
39,+wh_no_gap,He reported,who,the nurse believed,the woman thought,she recalled,she noticed,,reassured,the patient,before surgery,PP
40,-wh_gap,They reported,that,the man claimed,his friend believed,he knew,the man saw,the woman,abandoned,the children,on the side of the road,PP
40,-wh_no_gap,They reported,that,the man claimed,his friend believed,he knew,the man saw,,abandoned,the children,on the side of the road,PP
40,+wh_gap,They reported,who,the man claimed,his friend believed,he knew,the man saw,the woman,abandoned,the children,on the side of the road,PP
40,+wh_no_gap,They reported,who,the man claimed,his friend believed,he knew,the man saw,,abandoned,the children,on the side of the road,PP
41,-wh_gap,They recalled,that,the journalist believed,the transcript stated,he knew,the man noticed,the executive,promoted,the secretary,last week,ADV
41,-wh_no_gap,They recalled,that,the journalist believed,the transcript stated,he knew,the man noticed,,promoted,the secretary,last week,ADV
41,+wh_gap,They recalled,who,the journalist believed,the transcript stated,he knew,the man noticed,the executive,promoted,the secretary,last week,ADV
41,+wh_no_gap,They recalled,who,the journalist believed,the transcript stated,he knew,the man noticed,,promoted,the secretary,last week,ADV
42,-wh_gap,We recalled,that,the woman said,she thought,she knew,he saw,the millionaire,divorced,his wife,last week,ADV
42,-wh_no_gap,We recalled,that,the woman said,she thought,she knew,he saw,,divorced,his wife,last week,ADV
42,+wh_gap,We recalled,who,the woman said,she thought,she knew,he saw,the millionaire,divorced,his wife,last week,ADV
42,+wh_no_gap,We recalled,who,the woman said,she thought,she knew,he saw,,divorced,his wife,last week,ADV
43,-wh_gap,He recalled,that,the inspector believed,the detective concluded,he knew,the witness saw,the police,frightened,the protesters,over the weekend,PP
43,-wh_no_gap,He recalled,that,the inspector believed,the detective concluded,he knew,the witness saw,,frightened,the protesters,over the weekend,PP
43,+wh_gap,He recalled,who,the inspector believed,the detective concluded,he knew,the witness saw,the police,frightened,the protesters,over the weekend,PP
43,+wh_no_gap,He recalled,who,the inspector believed,the detective concluded,he knew,the witness saw,,frightened,the protesters,over the weekend,PP
44,-wh_gap,I know,that,the agent thought,the witness said,he knew,the man noticed,the spy,assassinated,the politician,yesterday night,ADV
44,-wh_no_gap,I know,that,the agent thought,the witness said,he knew,the man noticed,,assassinated,the politician,yesterday night,ADV
44,+wh_gap,I know,who,the agent thought,the witness said,he knew,the man noticed,the spy,assassinated,the politician,yesterday night,ADV
44,+wh_no_gap,I know,who,the agent thought,the witness said,he knew,the man noticed,,assassinated,the politician,yesterday night,ADV
45,-wh_gap,You know,that,the woman reported,the neighbors believed,they knew,they saw,the firefighter,greeted,the teacher,on the sidewalk,PP
45,-wh_no_gap,You know,that,the woman reported,the neighbors believed,they knew,they saw,,greeted,the teacher,on the sidewalk,PP
45,+wh_gap,You know,who,the woman reported,the neighbors believed,they knew,they saw,the firefighter,greeted,the teacher,on the sidewalk,PP
45,+wh_no_gap,You know,who,the woman reported,the neighbors believed,they knew,they saw,,greeted,the teacher,on the sidewalk,PP
46,-wh_gap,He knows,that,the politician believed,the donors said,they knew,he noticed,the mayor,supported,the principal,during the town meeting,PP
46,-wh_no_gap,He knows,that,the politician believed,the donors said,they knew,he noticed,,supported,the principal,during the town meeting,PP
46,+wh_gap,He knows,who,the politician believed,the donors said,they knew,he noticed,the mayor,supported,the principal,during the town meeting,PP
46,+wh_no_gap,He knows,who,the politician believed,the donors said,they knew,he noticed,,supported,the principal,during the town meeting,PP
47,-wh_gap,She knows,that,the woman said,her friend believed,she knew,the man saw,the man,congratulated,the writer,after the ceremony,PP
47,-wh_no_gap,She knows,that,the woman said,her friend believed,she knew,the man saw,,congratulated,the writer,after the ceremony,PP
47,+wh_gap,She knows,who,the woman said,her friend believed,she knew,the man saw,the man,congratulated,the writer,after the ceremony,PP
47,+wh_no_gap,She knows,who,the woman said,her friend believed,she knew,the man saw,,congratulated,the writer,after the ceremony,PP
48,-wh_gap,I know,that,the heiress believed,her friend said,she knew,the man noticed,the hostess,introduced,her friend,to the regular customer,PP
48,-wh_no_gap,I know,that,the heiress believed,her friend said,she knew,the man noticed,,introduced,her friend,to the regular customer,PP
48,+wh_gap,I know,who,the heiress believed,her friend said,she knew,the man noticed,the hostess,introduced,her friend,to the regular customer,PP
48,+wh_no_gap,I know,who,the heiress believed,her friend said,she knew,the man noticed,,introduced,her friend,to the regular customer,PP
49,-wh_gap,You know,that,the man said,the attendant saw,her friend knew,his father saw,the young woman,waited for,her mother,at the movie theater,PP
49,-wh_no_gap,You know,that,the man said,the attendant saw,her friend knew,his father saw,,waited for,her mother,at the movie theater,PP
49,+wh_gap,You know,who,the man said,the attendant saw,her friend knew,his father saw,the young woman,waited for,her mother,at the movie theater,PP
49,+wh_no_gap,You know,who,the man said,the attendant saw,her friend knew,his father saw,,waited for,her mother,at the movie theater,PP
50,-wh_gap,He knows,that,the inspector believed,the man reported,he knew,he noticed,the police,interrogated,the suspect,in the basement,PP
50,-wh_no_gap,He knows,that,the inspector believed,the man reported,he knew,he noticed,,interrogated,the suspect,in the basement,PP
50,+wh_gap,He knows,who,the inspector believed,the man reported,he knew,he noticed,the police,interrogated,the suspect,in the basement,PP
50,+wh_no_gap,He knows,who,the inspector believed,the man reported,he knew,he noticed,,interrogated,the suspect,in the basement,PP
51,-wh_gap,She knows,that,the captain said,the pilot thought,he knew,the man saw,the soldier,thanked,the cook,in the mess hall,PP
51,-wh_no_gap,She knows,that,the captain said,the pilot thought,he knew,the man saw,,thanked,the cook,in the mess hall,PP
51,+wh_gap,She knows,who,the captain said,the pilot thought,he knew,the man saw,the soldier,thanked,the cook,in the mess hall,PP
51,+wh_no_gap,She knows,who,the captain said,the pilot thought,he knew,the man saw,,thanked,the cook,in the mess hall,PP
52,-wh_gap,They know,that,the man said,the neighbors thought,they knew,the woman noticed,the lawyer,reassured,his client,last night,ADV
52,-wh_no_gap,They know,that,the man said,the neighbors thought,they knew,the woman noticed,,reassured,his client,last night,ADV
52,+wh_gap,They know,who,the man said,the neighbors thought,they knew,the woman noticed,the lawyer,reassured,his client,last night,ADV
52,+wh_no_gap,They know,who,the man said,the neighbors thought,they knew,the woman noticed,,reassured,his client,last night,ADV
53,-wh_gap,He reported,that,the sailor believed,the man believed,he knew,the man saw,the pirate,abandoned,his comrades,on the sinking ship,PP
53,-wh_no_gap,He reported,that,the sailor believed,the man believed,he knew,the man saw,,abandoned,his comrades,on the sinking ship,PP
53,+wh_gap,He reported,who,the sailor believed,the man believed,he knew,the man saw,the pirate,abandoned,his comrades,on the sinking ship,PP
53,+wh_no_gap,He reported,who,the sailor believed,the man believed,he knew,the man saw,,abandoned,his comrades,on the sinking ship,PP
54,-wh_gap,They reported,that,the man said,the old woman told him,she knew,he noticed,the boss,promoted,the accountant,last quarter,ADV
54,-wh_no_gap,They reported,that,the man said,the old woman told him,she knew,he noticed,,promoted,the accountant,last quarter,ADV
54,+wh_gap,They reported,who,the man said,the old woman told him,she knew,he noticed,the boss,promoted,the accountant,last quarter,ADV
54,+wh_no_gap,They reported,who,the man said,the old woman told him,she knew,he noticed,,promoted,the accountant,last quarter,ADV
