sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation
52,no,no,4,-wh_no_gap,They know,that,the man said,the neighbors thought,they knew,the woman noticed,the lawyer,might have reassured,his client,last night.
52,yes,yes,4,+wh_gap,They know,who,the man said,the neighbors thought,they knew,the woman noticed,,might have reassured,his client,last night.
52,yes,no,4,+wh_no_gap,They know,who,the man said,the neighbors thought,they knew,the woman noticed,the lawyer,might have reassured,his client,last night.
51,no,yes,0,-wh_gap,She knows,that,,,,,,should thank,the cook,in the mess hall.
51,no,no,0,-wh_no_gap,She knows,that,,,,,the soldier,should thank,the cook,in the mess hall.
51,yes,yes,0,+wh_gap,She knows,who,,,,,,should thank,the cook,in the mess hall.
51,yes,no,0,+wh_no_gap,She knows,who,,,,,the soldier,should thank,the cook,in the mess hall.
51,no,yes,1,-wh_gap,She knows,that,the captain said,,,,,should thank,the cook,in the mess hall.
51,no,no,1,-wh_no_gap,She knows,that,the captain said,,,,the soldier,should thank,the cook,in the mess hall.
51,yes,yes,1,+wh_gap,She knows,who,the captain said,,,,,should thank,the cook,in the mess hall.
51,yes,no,1,+wh_no_gap,She knows,who,the captain said,,,,the soldier,should thank,the cook,in the mess hall.
51,no,yes,2,-wh_gap,She knows,that,the captain said,the pilot thought,,,,should thank,the cook,in the mess hall.
51,no,no,2,-wh_no_gap,She knows,that,the captain said,the pilot thought,,,the soldier,should thank,the cook,in the mess hall.
51,yes,yes,2,+wh_gap,She knows,who,the captain said,the pilot thought,,,,should thank,the cook,in the mess hall.
51,yes,no,2,+wh_no_gap,She knows,who,the captain said,the pilot thought,,,the soldier,should thank,the cook,in the mess hall.
51,no,yes,3,-wh_gap,She knows,that,the captain said,the pilot thought,he knew,,,should thank,the cook,in the mess hall.
51,no,no,3,-wh_no_gap,She knows,that,the captain said,the pilot thought,he knew,,the soldier,should thank,the cook,in the mess hall.
51,yes,yes,3,+wh_gap,She knows,who,the captain said,the pilot thought,he knew,,,should thank,the cook,in the mess hall.
51,yes,no,3,+wh_no_gap,She knows,who,the captain said,the pilot thought,he knew,,the soldier,should thank,the cook,in the mess hall.
51,no,yes,4,-wh_gap,She knows,that,the captain said,the pilot thought,he knew,the man saw,,should thank,the cook,in the mess hall.
51,no,no,4,-wh_no_gap,She knows,that,the captain said,the pilot thought,he knew,the man saw,the soldier,should thank,the cook,in the mess hall.
51,yes,yes,4,+wh_gap,She knows,who,the captain said,the pilot thought,he knew,the man saw,,should thank,the cook,in the mess hall.
51,yes,no,4,+wh_no_gap,She knows,who,the captain said,the pilot thought,he knew,the man saw,the soldier,should thank,the cook,in the mess hall.
50,no,yes,0,-wh_gap,He knows,that,,,,,,might interrogate,the suspect,in the basement.
50,no,no,0,-wh_no_gap,He knows,that,,,,,the police,might interrogate,the suspect,in the basement.
50,yes,yes,0,+wh_gap,He knows,who,,,,,,might interrogate,the suspect,in the basement.
50,yes,no,0,+wh_no_gap,He knows,who,,,,,the police,might interrogate,the suspect,in the basement.
50,no,yes,1,-wh_gap,He knows,that,the inspector believed,,,,,might interrogate,the suspect,in the basement.
50,no,no,1,-wh_no_gap,He knows,that,the inspector believed,,,,the police,might interrogate,the suspect,in the basement.
50,yes,yes,1,+wh_gap,He knows,who,the inspector believed,,,,,might interrogate,the suspect,in the basement.
50,yes,no,1,+wh_no_gap,He knows,who,the inspector believed,,,,the police,might interrogate,the suspect,in the basement.
50,no,yes,2,-wh_gap,He knows,that,the inspector believed,the man reported,,,,might interrogate,the suspect,in the basement.
50,no,no,2,-wh_no_gap,He knows,that,the inspector believed,the man reported,,,the police,might interrogate,the suspect,in the basement.
50,yes,yes,2,+wh_gap,He knows,who,the inspector believed,the man reported,,,,might interrogate,the suspect,in the basement.
50,yes,no,2,+wh_no_gap,He knows,who,the inspector believed,the man reported,,,the police,might interrogate,the suspect,in the basement.
50,no,yes,3,-wh_gap,He knows,that,the inspector believed,the man reported,he knew,,,might interrogate,the suspect,in the basement.
50,no,no,3,-wh_no_gap,He knows,that,the inspector believed,the man reported,he knew,,the police,might interrogate,the suspect,in the basement.
50,yes,yes,3,+wh_gap,He knows,who,the inspector believed,the man reported,he knew,,,might interrogate,the suspect,in the basement.
50,yes,no,3,+wh_no_gap,He knows,who,the inspector believed,the man reported,he knew,,the police,might interrogate,the suspect,in the basement.
50,no,yes,4,-wh_gap,He knows,that,the inspector believed,the man reported,he knew,he noticed,,might interrogate,the suspect,in the basement.
50,no,no,4,-wh_no_gap,He knows,that,the inspector believed,the man reported,he knew,he noticed,the police,might interrogate,the suspect,in the basement.
50,yes,yes,4,+wh_gap,He knows,who,the inspector believed,the man reported,he knew,he noticed,,might interrogate,the suspect,in the basement.
50,yes,no,4,+wh_no_gap,He knows,who,the inspector believed,the man reported,he knew,he noticed,the police,might interrogate,the suspect,in the basement.
49,no,yes,0,-wh_gap,You know,that,,,,,,was waiting for,her mother,at the movie theater.
49,no,no,0,-wh_no_gap,You know,that,,,,,the young woman,was waiting for,her mother,at the movie theater.
49,yes,yes,0,+wh_gap,You know,who,,,,,,was waiting for,her mother,at the movie theater.
49,yes,no,0,+wh_no_gap,You know,who,,,,,the young woman,was waiting for,her mother,at the movie theater.
49,no,yes,1,-wh_gap,You know,that,the man said,,,,,was waiting for,her mother,at the movie theater.
49,no,no,1,-wh_no_gap,You know,that,the man said,,,,the young woman,was waiting for,her mother,at the movie theater.
49,yes,yes,1,+wh_gap,You know,who,the man said,,,,,was waiting for,her mother,at the movie theater.
49,yes,no,1,+wh_no_gap,You know,who,the man said,,,,the young woman,was waiting for,her mother,at the movie theater.
49,no,yes,2,-wh_gap,You know,that,the man said,the attendant saw,,,,was waiting for,her mother,at the movie theater.
49,no,no,2,-wh_no_gap,You know,that,the man said,the attendant saw,,,the young woman,was waiting for,her mother,at the movie theater.
49,yes,yes,2,+wh_gap,You know,who,the man said,the attendant saw,,,,was waiting for,her mother,at the movie theater.
49,yes,no,2,+wh_no_gap,You know,who,the man said,the attendant saw,,,the young woman,was waiting for,her mother,at the movie theater.
49,no,yes,3,-wh_gap,You know,that,the man said,the attendant saw,her friend knew,,,was waiting for,her mother,at the movie theater.
49,no,no,3,-wh_no_gap,You know,that,the man said,the attendant saw,her friend knew,,the young woman,was waiting for,her mother,at the movie theater.
49,yes,yes,3,+wh_gap,You know,who,the man said,the attendant saw,her friend knew,,,was waiting for,her mother,at the movie theater.
49,yes,no,3,+wh_no_gap,You know,who,the man said,the attendant saw,her friend knew,,the young woman,was waiting for,her mother,at the movie theater.
49,no,yes,4,-wh_gap,You know,that,the man said,the attendant saw,her friend knew,his father saw,,was waiting for,her mother,at the movie theater.
49,no,no,4,-wh_no_gap,You know,that,the man said,the attendant saw,her friend knew,his father saw,the young woman,was waiting for,her mother,at the movie theater.
49,yes,yes,4,+wh_gap,You know,who,the man said,the attendant saw,her friend knew,his father saw,,was waiting for,her mother,at the movie theater.
49,yes,no,4,+wh_no_gap,You know,who,the man said,the attendant saw,her friend knew,his father saw,the young woman,was waiting for,her mother,at the movie theater.
48,no,yes,0,-wh_gap,I know,that,,,,,,could introduce,her friend,to the regular customer.
48,no,no,0,-wh_no_gap,I know,that,,,,,the hostess,could introduce,her friend,to the regular customer.
48,yes,yes,0,+wh_gap,I know,who,,,,,,could introduce,her friend,to the regular customer.
48,yes,no,0,+wh_no_gap,I know,who,,,,,the hostess,could introduce,her friend,to the regular customer.
48,no,yes,1,-wh_gap,I know,that,the heiress believed,,,,,could introduce,her friend,to the regular customer.
48,no,no,1,-wh_no_gap,I know,that,the heiress believed,,,,the hostess,could introduce,her friend,to the regular customer.
48,yes,yes,1,+wh_gap,I know,who,the heiress believed,,,,,could introduce,her friend,to the regular customer.
48,yes,no,1,+wh_no_gap,I know,who,the heiress believed,,,,the hostess,could introduce,her friend,to the regular customer.
48,no,yes,2,-wh_gap,I know,that,the heiress believed,her friend said,,,,could introduce,her friend,to the regular customer.
48,no,no,2,-wh_no_gap,I know,that,the heiress believed,her friend said,,,the hostess,could introduce,her friend,to the regular customer.
48,yes,yes,2,+wh_gap,I know,who,the heiress believed,her friend said,,,,could introduce,her friend,to the regular customer.
48,yes,no,2,+wh_no_gap,I know,who,the heiress believed,her friend said,,,the hostess,could introduce,her friend,to the regular customer.
48,no,yes,3,-wh_gap,I know,that,the heiress believed,her friend said,she knew,,,could introduce,her friend,to the regular customer.
48,no,no,3,-wh_no_gap,I know,that,the heiress believed,her friend said,she knew,,the hostess,could introduce,her friend,to the regular customer.
48,yes,yes,3,+wh_gap,I know,who,the heiress believed,her friend said,she knew,,,could introduce,her friend,to the regular customer.
48,yes,no,3,+wh_no_gap,I know,who,the heiress believed,her friend said,she knew,,the hostess,could introduce,her friend,to the regular customer.
48,no,yes,4,-wh_gap,I know,that,the heiress believed,her friend said,she knew,the man noticed,,could introduce,her friend,to the regular customer.
48,no,no,4,-wh_no_gap,I know,that,the heiress believed,her friend said,she knew,the man noticed,the hostess,could introduce,her friend,to the regular customer.
48,yes,yes,4,+wh_gap,I know,who,the heiress believed,her friend said,she knew,the man noticed,,could introduce,her friend,to the regular customer.
48,yes,no,4,+wh_no_gap,I know,who,the heiress believed,her friend said,she knew,the man noticed,the hostess,could introduce,her friend,to the regular customer.
47,no,yes,0,-wh_gap,She knows,that,,,,,,could congratulate,the writer,after the ceremony.
47,no,no,0,-wh_no_gap,She knows,that,,,,,the man,could congratulate,the writer,after the ceremony.
47,yes,yes,0,+wh_gap,She knows,who,,,,,,could congratulate,the writer,after the ceremony.
47,yes,no,0,+wh_no_gap,She knows,who,,,,,the man,could congratulate,the writer,after the ceremony.
47,no,yes,1,-wh_gap,She knows,that,the woman said,,,,,could congratulate,the writer,after the ceremony.
47,no,no,1,-wh_no_gap,She knows,that,the woman said,,,,the man,could congratulate,the writer,after the ceremony.
47,yes,yes,1,+wh_gap,She knows,who,the woman said,,,,,could congratulate,the writer,after the ceremony.
47,yes,no,1,+wh_no_gap,She knows,who,the woman said,,,,the man,could congratulate,the writer,after the ceremony.
47,no,yes,2,-wh_gap,She knows,that,the woman said,her friend believed,,,,could congratulate,the writer,after the ceremony.
47,no,no,2,-wh_no_gap,She knows,that,the woman said,her friend believed,,,the man,could congratulate,the writer,after the ceremony.
47,yes,yes,2,+wh_gap,She knows,who,the woman said,her friend believed,,,,could congratulate,the writer,after the ceremony.
47,yes,no,2,+wh_no_gap,She knows,who,the woman said,her friend believed,,,the man,could congratulate,the writer,after the ceremony.
47,no,yes,3,-wh_gap,She knows,that,the woman said,her friend believed,she knew,,,could congratulate,the writer,after the ceremony.
47,no,no,3,-wh_no_gap,She knows,that,the woman said,her friend believed,she knew,,the man,could congratulate,the writer,after the ceremony.
47,yes,yes,3,+wh_gap,She knows,who,the woman said,her friend believed,she knew,,,could congratulate,the writer,after the ceremony.
47,yes,no,3,+wh_no_gap,She knows,who,the woman said,her friend believed,she knew,,the man,could congratulate,the writer,after the ceremony.
47,no,yes,4,-wh_gap,She knows,that,the woman said,her friend believed,she knew,the man saw,,could congratulate,the writer,after the ceremony.
47,no,no,4,-wh_no_gap,She knows,that,the woman said,her friend believed,she knew,the man saw,the man,could congratulate,the writer,after the ceremony.
47,yes,yes,4,+wh_gap,She knows,who,the woman said,her friend believed,she knew,the man saw,,could congratulate,the writer,after the ceremony.
47,yes,no,4,+wh_no_gap,She knows,who,the woman said,her friend believed,she knew,the man saw,the man,could congratulate,the writer,after the ceremony.
46,no,yes,0,-wh_gap,He knows,that,,,,,,should support,the principal,during the town meeting.
46,no,no,0,-wh_no_gap,He knows,that,,,,,the mayor,should support,the principal,during the town meeting.
46,yes,yes,0,+wh_gap,He knows,who,,,,,,should support,the principal,during the town meeting.
46,yes,no,0,+wh_no_gap,He knows,who,,,,,the mayor,should support,the principal,during the town meeting.
46,no,yes,1,-wh_gap,He knows,that,the politician believed,,,,,should support,the principal,during the town meeting.
46,no,no,1,-wh_no_gap,He knows,that,the politician believed,,,,the mayor,should support,the principal,during the town meeting.
46,yes,yes,1,+wh_gap,He knows,who,the politician believed,,,,,should support,the principal,during the town meeting.
46,yes,no,1,+wh_no_gap,He knows,who,the politician believed,,,,the mayor,should support,the principal,during the town meeting.
46,no,yes,2,-wh_gap,He knows,that,the politician believed,the donors said,,,,should support,the principal,during the town meeting.
46,no,no,2,-wh_no_gap,He knows,that,the politician believed,the donors said,,,the mayor,should support,the principal,during the town meeting.
46,yes,yes,2,+wh_gap,He knows,who,the politician believed,the donors said,,,,should support,the principal,during the town meeting.
46,yes,no,2,+wh_no_gap,He knows,who,the politician believed,the donors said,,,the mayor,should support,the principal,during the town meeting.
46,no,yes,3,-wh_gap,He knows,that,the politician believed,the donors said,they knew,,,should support,the principal,during the town meeting.
46,no,no,3,-wh_no_gap,He knows,that,the politician believed,the donors said,they knew,,the mayor,should support,the principal,during the town meeting.
46,yes,yes,3,+wh_gap,He knows,who,the politician believed,the donors said,they knew,,,should support,the principal,during the town meeting.
46,yes,no,3,+wh_no_gap,He knows,who,the politician believed,the donors said,they knew,,the mayor,should support,the principal,during the town meeting.
46,no,yes,4,-wh_gap,He knows,that,the politician believed,the donors said,they knew,he noticed,,should support,the principal,during the town meeting.
46,no,no,4,-wh_no_gap,He knows,that,the politician believed,the donors said,they knew,he noticed,the mayor,should support,the principal,during the town meeting.
46,yes,yes,4,+wh_gap,He knows,who,the politician believed,the donors said,they knew,he noticed,,should support,the principal,during the town meeting.
46,yes,no,4,+wh_no_gap,He knows,who,the politician believed,the donors said,they knew,he noticed,the mayor,should support,the principal,during the town meeting.
45,no,yes,0,-wh_gap,You know,that,,,,,,did greet,the teacher,on the sidewalk.
45,no,no,0,-wh_no_gap,You know,that,,,,,the firefighter,did greet,the teacher,on the sidewalk.
45,yes,yes,0,+wh_gap,You know,who,,,,,,did greet,the teacher,on the sidewalk.
45,yes,no,0,+wh_no_gap,You know,who,,,,,the firefighter,did greet,the teacher,on the sidewalk.
45,no,yes,1,-wh_gap,You know,that,the woman reported,,,,,did greet,the teacher,on the sidewalk.
45,no,no,1,-wh_no_gap,You know,that,the woman reported,,,,the firefighter,did greet,the teacher,on the sidewalk.
45,yes,yes,1,+wh_gap,You know,who,the woman reported,,,,,did greet,the teacher,on the sidewalk.
45,yes,no,1,+wh_no_gap,You know,who,the woman reported,,,,the firefighter,did greet,the teacher,on the sidewalk.
45,no,yes,2,-wh_gap,You know,that,the woman reported,the neighbors believed,,,,did greet,the teacher,on the sidewalk.
45,no,no,2,-wh_no_gap,You know,that,the woman reported,the neighbors believed,,,the firefighter,did greet,the teacher,on the sidewalk.
45,yes,yes,2,+wh_gap,You know,who,the woman reported,the neighbors believed,,,,did greet,the teacher,on the sidewalk.
45,yes,no,2,+wh_no_gap,You know,who,the woman reported,the neighbors believed,,,the firefighter,did greet,the teacher,on the sidewalk.
45,no,yes,3,-wh_gap,You know,that,the woman reported,the neighbors believed,they knew,,,did greet,the teacher,on the sidewalk.
45,no,no,3,-wh_no_gap,You know,that,the woman reported,the neighbors believed,they knew,,the firefighter,did greet,the teacher,on the sidewalk.
45,yes,yes,3,+wh_gap,You know,who,the woman reported,the neighbors believed,they knew,,,did greet,the teacher,on the sidewalk.
45,yes,no,3,+wh_no_gap,You know,who,the woman reported,the neighbors believed,they knew,,the firefighter,did greet,the teacher,on the sidewalk.
45,no,yes,4,-wh_gap,You know,that,the woman reported,the neighbors believed,they knew,they saw,,did greet,the teacher,on the sidewalk.
45,no,no,4,-wh_no_gap,You know,that,the woman reported,the neighbors believed,they knew,they saw,the firefighter,did greet,the teacher,on the sidewalk.
45,yes,yes,4,+wh_gap,You know,who,the woman reported,the neighbors believed,they knew,they saw,,did greet,the teacher,on the sidewalk.
45,yes,no,4,+wh_no_gap,You know,who,the woman reported,the neighbors believed,they knew,they saw,the firefighter,did greet,the teacher,on the sidewalk.
44,no,yes,0,-wh_gap,I know,that,,,,,,might have assassinated,the politician,yesterday night.
44,no,no,0,-wh_no_gap,I know,that,,,,,the spy,might have assassinated,the politician,yesterday night.
44,yes,yes,0,+wh_gap,I know,who,,,,,,might have assassinated,the politician,yesterday night.
44,yes,no,0,+wh_no_gap,I know,who,,,,,the spy,might have assassinated,the politician,yesterday night.
44,no,yes,1,-wh_gap,I know,that,the agent thought,,,,,might have assassinated,the politician,yesterday night.
44,no,no,1,-wh_no_gap,I know,that,the agent thought,,,,the spy,might have assassinated,the politician,yesterday night.
44,yes,yes,1,+wh_gap,I know,who,the agent thought,,,,,might have assassinated,the politician,yesterday night.
44,yes,no,1,+wh_no_gap,I know,who,the agent thought,,,,the spy,might have assassinated,the politician,yesterday night.
44,no,yes,2,-wh_gap,I know,that,the agent thought,the witness said,,,,might have assassinated,the politician,yesterday night.
44,no,no,2,-wh_no_gap,I know,that,the agent thought,the witness said,,,the spy,might have assassinated,the politician,yesterday night.
44,yes,yes,2,+wh_gap,I know,who,the agent thought,the witness said,,,,might have assassinated,the politician,yesterday night.
44,yes,no,2,+wh_no_gap,I know,who,the agent thought,the witness said,,,the spy,might have assassinated,the politician,yesterday night.
44,no,yes,3,-wh_gap,I know,that,the agent thought,the witness said,he knew,,,might have assassinated,the politician,yesterday night.
44,no,no,3,-wh_no_gap,I know,that,the agent thought,the witness said,he knew,,the spy,might have assassinated,the politician,yesterday night.
44,yes,yes,3,+wh_gap,I know,who,the agent thought,the witness said,he knew,,,might have assassinated,the politician,yesterday night.
44,yes,no,3,+wh_no_gap,I know,who,the agent thought,the witness said,he knew,,the spy,might have assassinated,the politician,yesterday night.
44,no,yes,4,-wh_gap,I know,that,the agent thought,the witness said,he knew,the man noticed,,might have assassinated,the politician,yesterday night.
44,no,no,4,-wh_no_gap,I know,that,the agent thought,the witness said,he knew,the man noticed,the spy,might have assassinated,the politician,yesterday night.
44,yes,yes,4,+wh_gap,I know,who,the agent thought,the witness said,he knew,the man noticed,,might have assassinated,the politician,yesterday night.
44,yes,no,4,+wh_no_gap,I know,who,the agent thought,the witness said,he knew,the man noticed,the spy,might have assassinated,the politician,yesterday night.
43,no,yes,0,-wh_gap,He recalled,that,,,,,,did frighten,the protesters,over the weekend.
43,no,no,0,-wh_no_gap,He recalled,that,,,,,the police,did frighten,the protesters,over the weekend.
43,yes,yes,0,+wh_gap,He recalled,who,,,,,,did frighten,the protesters,over the weekend.
43,yes,no,0,+wh_no_gap,He recalled,who,,,,,the police,did frighten,the protesters,over the weekend.
43,no,yes,1,-wh_gap,He recalled,that,the inspector believed,,,,,did frighten,the protesters,over the weekend.
43,no,no,1,-wh_no_gap,He recalled,that,the inspector believed,,,,the police,did frighten,the protesters,over the weekend.
43,yes,yes,1,+wh_gap,He recalled,who,the inspector believed,,,,,did frighten,the protesters,over the weekend.
43,yes,no,1,+wh_no_gap,He recalled,who,the inspector believed,,,,the police,did frighten,the protesters,over the weekend.
43,no,yes,2,-wh_gap,He recalled,that,the inspector believed,the detective concluded,,,,did frighten,the protesters,over the weekend.
43,no,no,2,-wh_no_gap,He recalled,that,the inspector believed,the detective concluded,,,the police,did frighten,the protesters,over the weekend.
43,yes,yes,2,+wh_gap,He recalled,who,the inspector believed,the detective concluded,,,,did frighten,the protesters,over the weekend.
43,yes,no,2,+wh_no_gap,He recalled,who,the inspector believed,the detective concluded,,,the police,did frighten,the protesters,over the weekend.
43,no,yes,3,-wh_gap,He recalled,that,the inspector believed,the detective concluded,he knew,,,did frighten,the protesters,over the weekend.
43,no,no,3,-wh_no_gap,He recalled,that,the inspector believed,the detective concluded,he knew,,the police,did frighten,the protesters,over the weekend.
43,yes,yes,3,+wh_gap,He recalled,who,the inspector believed,the detective concluded,he knew,,,did frighten,the protesters,over the weekend.
43,yes,no,3,+wh_no_gap,He recalled,who,the inspector believed,the detective concluded,he knew,,the police,did frighten,the protesters,over the weekend.
43,no,yes,4,-wh_gap,He recalled,that,the inspector believed,the detective concluded,he knew,the witness saw,,did frighten,the protesters,over the weekend.
43,no,no,4,-wh_no_gap,He recalled,that,the inspector believed,the detective concluded,he knew,the witness saw,the police,did frighten,the protesters,over the weekend.
43,yes,yes,4,+wh_gap,He recalled,who,the inspector believed,the detective concluded,he knew,the witness saw,,did frighten,the protesters,over the weekend.
43,yes,no,4,+wh_no_gap,He recalled,who,the inspector believed,the detective concluded,he knew,the witness saw,the police,did frighten,the protesters,over the weekend.
42,no,yes,0,-wh_gap,We recalled,that,,,,,,might have divorced,his wife,last week.
42,no,no,0,-wh_no_gap,We recalled,that,,,,,the millionaire,might have divorced,his wife,last week.
42,yes,yes,0,+wh_gap,We recalled,who,,,,,,might have divorced,his wife,last week.
42,yes,no,0,+wh_no_gap,We recalled,who,,,,,the millionaire,might have divorced,his wife,last week.
42,no,yes,1,-wh_gap,We recalled,that,the woman said,,,,,might have divorced,his wife,last week.
42,no,no,1,-wh_no_gap,We recalled,that,the woman said,,,,the millionaire,might have divorced,his wife,last week.
42,yes,yes,1,+wh_gap,We recalled,who,the woman said,,,,,might have divorced,his wife,last week.
42,yes,no,1,+wh_no_gap,We recalled,who,the woman said,,,,the millionaire,might have divorced,his wife,last week.
42,no,yes,2,-wh_gap,We recalled,that,the woman said,she thought,,,,might have divorced,his wife,last week.
42,no,no,2,-wh_no_gap,We recalled,that,the woman said,she thought,,,the millionaire,might have divorced,his wife,last week.
42,yes,yes,2,+wh_gap,We recalled,who,the woman said,she thought,,,,might have divorced,his wife,last week.
